track_id,class,best_frame,best_timestamp,max_y,cpa_location,best_bbox
143,vehicle,1449,48.3,1080.0,"[1471.19, 1080.0]","[1348.75, 874.26, 1593.62, 1080.0]"
148,vehicle,1531,51.0333,202.68240356445312,"[770.78, 202.68]","[742.15, 150.28, 799.41, 202.68]"
149,vehicle,1442,48.0667,1078.69921875,"[41.71, 1078.7]","[6.03, 976.21, 77.39, 1078.7]"
150,vehicle,1445,48.1667,143.2797393798828,"[571.6, 143.28]","[546.76, 94.15, 596.43, 143.28]"
152,vehicle,1830,61.0,1079.99951171875,"[61.84, 1080.0]","[3.03, 993.8, 120.65, 1080.0]"
154,vehicle,1398,46.6,436.7611389160156,"[902.76, 436.76]","[836.07, 305.32, 969.46, 436.76]"
156,vehicle,1426,47.5333,184.50030517578125,"[652.66, 184.5]","[626.98, 143.67, 678.35, 184.5]"
158,vehicle,1442,48.0667,119.79093933105469,"[710.03, 119.79]","[692.14, 85.79, 727.91, 119.79]"
160,vehicle,1439,47.9667,683.04150390625,"[480.27, 683.04]","[451.2, 591.69, 509.34, 683.04]"
163,vehicle,1491,49.7,1080.0,"[1519.73, 1080.0]","[1401.13, 793.89, 1638.33, 1080.0]"
171,vehicle,1630,54.3333,1080.0,"[452.83, 1080.0]","[324.97, 727.85, 580.68, 1080.0]"
175,vehicle,1522,50.7333,313.69775390625,"[536.28, 313.7]","[499.9, 230.91, 572.66, 313.7]"
177,vehicle,1693,56.4333,1080.0,"[439.92, 1080.0]","[315.79, 773.3, 564.04, 1080.0]"
179,vehicle,1509,50.3,64.2812728881836,"[612.28, 64.28]","[584.85, 1.26, 639.71, 64.28]"
181,vehicle,1513,50.4333,159.59832763671875,"[738.11, 159.6]","[714.9, 112.54, 761.32, 159.6]"
183,vehicle,1830,61.0,862.671630859375,"[520.94, 862.67]","[422.77, 632.09, 619.11, 862.67]"
184,vehicle,1559,51.9667,86.31043243408203,"[699.85, 86.31]","[681.66, 55.82, 718.04, 86.31]"
186,vehicle,1565,52.1667,1080.0,"[1485.03, 1080.0]","[1354.24, 778.31, 1615.83, 1080.0]"
187,vehicle,1741,58.0333,1080.0,"[451.25, 1080.0]","[326.29, 775.72, 576.21, 1080.0]"
188,vehicle,1786,59.5333,1080.0,"[442.03, 1080.0]","[321.75, 782.27, 562.3, 1080.0]"
189,vehicle,1620,54.0,1080.0,"[1451.01, 1080.0]","[1321.44, 771.07, 1580.57, 1080.0]"
190,vehicle,1616,53.8667,121.08676147460938,"[725.11, 121.09]","[700.73, 76.11, 749.48, 121.09]"
191,vehicle,1830,61.0,831.8128662109375,"[285.83, 831.81]","[175.04, 581.81, 396.63, 831.81]"
195,vehicle,1789,59.6333,1080.0,"[934.24, 1080.0]","[794.88, 593.34, 1073.6, 1080.0]"
196,vehicle,1603,53.4333,473.0104675292969,"[924.96, 473.01]","[873.64, 401.54, 976.29, 473.01]"
197,vehicle,1830,61.0,382.97119140625,"[646.54, 382.97]","[578.5, 153.26, 714.58, 382.97]"
198,vehicle,1830,61.0,656.447998046875,"[946.44, 656.45]","[879.55, 493.96, 1013.32, 656.45]"
200,vehicle,1830,61.0,528.6236572265625,"[433.64, 528.62]","[364.6, 396.27, 502.68, 528.62]"
203,vehicle,1830,61.0,250.255126953125,"[800.49, 250.26]","[765.52, 188.54, 835.47, 250.26]"
204,vehicle,1790,59.6667,70.41407775878906,"[684.86, 70.41]","[664.05, 28.95, 705.67, 70.41]"
206,vehicle,1830,61.0,179.92050170898438,"[560.61, 179.92]","[523.44, 104.06, 597.78, 179.92]"
208,vehicle,1830,61.0,173.7303466796875,"[745.71, 173.73]","[723.39, 136.23, 768.03, 173.73]"
209,vehicle,1830,61.0,115.70323181152344,"[628.63, 115.7]","[606.32, 75.79, 650.94, 115.7]"
